Geneid	Chr	Start	End	Strand	Length	trt_1	trt_2	trt_3	ctr_1	ctr_2	ctr_3
gene:AT1G01280	1	112263	113947	+	1685	1	0	1	0	1	0
gene:AT1G01290	1	114202	116407	+	2206	327	0	26	72	40	26
gene:AT1G01300	1	116784	118845	+	2062	810	161	380	709	1156	457
gene:AT1G01305	1	119381	119997	+	617	0	0	0	0	0	0
gene:AT1G01310	1	120154	121130	+	977	0	0	0	0	5	0
gene:AT1G01320	1	121067	130577	-	9511	4152	1321	1210	3646	6589	2114
gene:AT1G01335	1	130736	130858	+	123	0	0	0	0	0	0
gene:AT1G01340	1	132270	135924	-	3655	668	81	158	5	24	10
gene:AT1G01350	1	136090	138162	+	2073	337	229	95	130	223	69
gene:AT1G01355	1	138489	139680	+	1192	0	0	0	0	0	1
gene:AT1G01360	1	141870	143261	+	1392	0	2	4	45	71	13
gene:AT1G01370	1	143489	146479	+	2991	23	6	0	7	40	14
gene:AT1G01380	1	147043	148014	+	972	0	0	0	0	0	0
gene:AT1G01390	1	148013	149848	-	1836	3	64	21	268	69	59
gene:AT1G01400	1	150689	152210	-	1522	0	0	1	0	0	0
gene:AT1G01410	1	153113	154198	+	1086	0	0	0	0	0	0
gene:AT1G01420	1	154367	156178	-	1812	110	1	0	1	14	26
gene:AT1G01430	1	156477	158823	-	2347	203	16	93	105	225	3
gene:AT1G01440	1	159628	162953	-	3326	806	90	208	122	206	94
gene:AT1G01450	1	164105	165517	-	1413	28	27	16	40	43	44
gene:AT1G01453	1	166589	168088	-	1500	0	0	0	0	0	0
gene:AT1G01460	1	168559	171386	+	2828	0	0	0	0	0	0
gene:AT1G01470	1	171525	172948	-	1424	3717	553	908	904	825	258
gene:AT1G01480	1	175706	178406	+	2701	7863	1552	1962	2	15	10
gene:AT1G01490	1	180017	182749	-	2733	2809	601	872	563	509	334
gene:AT1G01500	1	185033	187135	+	2103	367	11	34	132	229	77
gene:AT1G01510	1	187145	190472	+	3328	406	101	327	453	519	157
gene:AT1G01520	1	190408	192436	+	2029	0	6	0	4	7	7
gene:AT1G01530	1	192634	193670	-	1037	0	0	0	0	0	0
gene:AT1G01540	1	195645	198787	+	3143	663	218	254	435	534	245
gene:AT1G01550	1	199527	201775	+	2249	5898	1501	1137	627	701	212
gene:AT1G01560	1	202103	204440	+	2338	2031	560	521	0	3	8
gene:AT1G01570	1	204935	207642	+	2708	0	0	2	10	32	41
gene:AT1G01580	1	208995	213082	+	4088	0	0	12	4	20	15
gene:AT1G01590	1	214150	217734	+	3585	1	0	0	0	0	0
gene:AT1G01600	1	218834	221286	+	2453	0	0	2	0	2	0
gene:AT1G01610	1	221642	224351	-	2710	203	1	91	1	48	18
gene:AT1G01620	1	225665	227543	-	1879	4088	1015	798	2177	3019	1106
gene:AT1G01630	1	228799	230979	+	2181	160	97	58	66	52	1
gene:AT1G01640	1	230908	232630	-	1723	94	89	15	10	48	10
gene:AT1G01650	1	232840	237905	-	5066	997	201	147	466	398	375
gene:AT1G01660	1	239841	242703	-	2863	0	0	1	0	0	0
gene:AT1G01670	1	242713	246054	-	3342	0	1	0	0	7	0
gene:AT1G01680	1	246262	248440	-	2179	187	61	22	0	1	0
gene:AT1G01690	1	249041	252522	+	3482	245	0	26	10	43	124
gene:AT1G01695	1	252626	254530	+	1905	0	0	0	0	3	23
gene:AT1G01700	1	259307	261667	-	2361	40	46	8	125	79	42
gene:AT1G01710	1	262828	266324	+	3497	286	101	112	209	195	118
gene:AT1G01715	1	266333	267883	+	1551	0	4	25	14	12	3
gene:AT1G01720	1	267993	269819	+	1827	92	48	150	143	265	69
gene:AT1G01725	1	269792	270859	-	1068	141	0	35	90	104	32
gene:AT1G01730	1	270797	272189	+	1393	416	98	41	39	96	15
gene:AT1G01740	1	272111	274930	-	2820	244	108	64	13	42	26
gene:AT1G01750	1	275188	276310	+	1123	6	0	19	37	16	6
gene:AT1G01760	1	276266	278599	-	2334	75	0	0	36	34	11
gene:AT1G01770	1	278600	282891	+	4292	178	44	65	397	364	124
gene:AT1G01780	1	282761	284245	+	1485	205	0	5	41	105	29
gene:AT1G01790	1	284350	291203	+	6854	1203	195	729	630	1135	392
gene:AT1G01800	1	293246	295086	+	1841	335	131	271	322	387	136
gene:AT1G01810	1	295207	295859	+	653	0	0	0	20	18	0
gene:AT1G01820	1	296001	298334	-	2334	979	139	247	144	307	167
gene:AT1G01830	1	298451	302310	-	3860	1	1	166	74	99	52
gene:AT1G01840	1	303537	304358	+	822	45	0	1	27	54	15
gene:AT1G01860	1	304133	306310	-	2178	2	71	48	42	53	28
gene:AT1G01880	1	306467	309541	-	3075	0	49	28	31	91	6
gene:AT1G01900	1	310169	313130	+	2962	995	108	235	468	335	202
gene:AT1G01910	1	313101	316090	-	2990	884	133	179	209	327	221
gene:AT1G01920	1	315983	319667	+	3685	108	42	68	83	227	46
gene:AT1G01930	1	319769	322895	-	3127	864	155	129	99	249	72
gene:AT1G01940	1	322886	324917	+	2032	336	57	40	43	31	30
gene:AT1G01950	1	325316	330619	+	5304	152	180	63	260	268	118
gene:AT1G01960	1	330588	337912	-	7325	1454	394	580	1046	1280	549
gene:AT1G01970	1	338241	340088	+	1848	68	19	67	130	184	84
gene:AT1G01980	1	340108	342040	-	1933	0	0	0	1	0	0
gene:AT1G01990	1	342918	344400	-	1483	149	93	178	60	204	69
gene:AT1G02000	1	345516	347603	+	2088	189	36	12	75	59	36
gene:AT1G02010	1	347613	352545	+	4933	316	24	54	55	84	51
gene:AT1G02020	1	352612	355124	-	2513	29	3	40	223	95	60
gene:AT1G02030	1	355124	357258	-	2135	2	0	10	0	0	0
gene:AT1G02040	1	357906	359078	-	1173	0	0	0	0	0	0
gene:AT1G02050	1	359117	360746	-	1630	0	2	20	18	37	35
gene:AT1G02060	1	360918	363142	-	2225	43	24	16	32	21	47
gene:AT1G02065	1	365165	367443	+	2279	3	0	2	2	0	0
gene:AT1G02067	1	366945	367166	-	222	0	0	0	0	0	0
gene:AT1G02070	1	370195	371090	-	896	0	0	0	0	1	1
gene:AT1G02080	1	373335	386913	+	13579	4663	1317	1493	2034	2348	1009
gene:AT1G02090	1	387277	389808	-	2532	665	265	311	153	223	82
gene:AT1G02100	1	389812	392816	+	3005	483	91	144	186	211	85
gene:AT1G02110	1	392831	395528	+	2698	233	23	57	124	204	59
gene:AT1G02120	1	395689	400001	+	4313	898	738	677	386	394	196
gene:AT1G02130	1	399983	401919	-	1937	179	25	87	160	322	192
gene:AT1G02140	1	403100	404456	-	1357	1735	446	705	498	800	255
gene:AT1G02145	1	404600	408619	+	4020	439	19	68	135	186	210
gene:AT1G02150	1	408622	410680	+	2059	634	33	142	279	477	137
gene:AT1G02160	1	410744	411632	+	889	188	74	63	123	208	88
gene:AT1G02170	1	411664	413554	+	1891	831	469	455	113	216	114
gene:AT1G02180	1	413522	414649	-	1128	0	17	2	3	47	7
gene:AT1G02190	1	415074	418027	+	2954	1	0	0	0	1	0
gene:AT1G02205	1	418416	422579	+	4164	0	0	0	0	0	0
gene:AT1G02210	1	427548	427811	-	264	0	0	0	0	0	0
gene:AT1G02220	1	428650	430720	-	2071	227	67	112	1	4	5
gene:AT1G02230	1	434965	436922	-	1958	0	29	0	0	24	0
gene:AT1G02250	1	437860	439559	-	1700	0	0	1	0	0	0
gene:AT1G02260	1	440200	442972	-	2773	1	18	200	37	52	3
gene:AT1G02270	1	443118	446296	-	3179	395	25	139	65	196	70
gene:AT1G02280	1	448423	450426	-	2004	97	89	10	241	378	95
gene:AT1G02290	1	450461	452743	-	2283	35	16	22	98	88	87
gene:AT1G02300	1	453107	455519	+	2413	455	0	72	107	184	73
gene:AT1G02305	1	455688	458164	+	2477	503	137	219	434	556	200
gene:AT1G02310	1	458133	460831	-	2699	1	0	0	0	17	26
gene:AT1G02320	1	461828	461974	+	147	0	0	0	0	1	0
gene:AT1G02330	1	461946	463618	-	1673	1006	165	163	192	234	97
gene:AT1G02335	1	463754	464981	-	1228	1359	37	163	236	392	108
gene:AT1G02340	1	465616	467880	-	2265	0	0	19	1	1	1
gene:AT1G02350	1	469818	470693	+	876	0	0	0	0	5	0
gene:AT1G02360	1	471883	473336	-	1454	71	3	92	2	5	0
gene:AT1G02370	1	474373	476612	+	2240	42	31	70	33	107	0
gene:AT1G02380	1	476945	479112	+	2168	1	1	0	23	36	3
gene:AT1G02390	1	480650	483373	+	2724	0	0	0	0	0	0
gene:AT1G02400	1	486800	489651	+	2852	1467	376	291	25	0	1
gene:AT1G02405	1	489874	490627	-	754	45	61	4	0	0	0
gene:AT1G02410	1	490860	492979	+	2120	114	119	158	116	214	50
gene:AT1G02420	1	493639	495158	+	1520	12	1	46	75	76	38
gene:AT1G02430	1	495050	496332	-	1283	53	1	13	27	27	0
gene:AT1G02440	1	496372	497555	-	1184	20	9	0	0	2	0
gene:AT1G02450	1	497917	498539	-	623	205	33	54	1	0	3
gene:AT1G02460	1	504463	507268	-	2806	272	283	160	2	19	13
gene:AT1G02470	1	511765	513721	-	1957	201	63	0	0	6	9
gene:AT1G02475	1	513699	515422	-	1724	773	81	242	381	587	262
gene:AT1G02490	1	516569	516866	+	298	0	0	0	0	0	0
gene:AT1G02500	1	518091	520495	+	2405	4735	1536	1585	2008	2135	1184
gene:AT1G02510	1	520498	521668	-	1171	1	0	0	0	0	0
gene:AT1G02520	1	523536	529069	+	5534	472	117	118	1	2	15
gene:AT1G02530	1	529679	534677	+	4999	0	0	0	0	0	0
gene:AT1G02540	1	534827	535699	-	873	1	0	0	0	0	0
gene:AT1G02550	1	536483	537211	+	729	0	0	0	0	0	0
gene:AT1G02560	1	537740	540127	+	2388	1637	482	291	1010	1791	658
gene:AT1G02570	1	541236	542245	+	1010	0	0	0	0	0	2
gene:AT1G02575	1	543011	544057	+	1047	0	0	0	0	0	0
gene:AT1G02580	1	544733	549202	+	4470	2	0	0	0	0	0
gene:AT1G02590	1	552138	552761	-	624	0	0	1	0	0	0
gene:AT1G02610	1	553019	556152	-	3134	6	0	32	151	237	35
gene:AT1G02620	1	557092	558774	+	1683	0	1	0	18	25	10
gene:AT1G02630	1	560610	562598	-	1989	0	0	0	1	3	0
gene:AT1G02640	1	564018	567771	+	3754	465	92	49	471	694	289
gene:AT1G02650	1	568558	570554	+	1997	0	0	0	2	1	32
gene:AT1G02660	1	571826	575085	-	3260	449	87	143	88	227	44
gene:AT1G02670	1	575922	580532	+	4611	4	0	15	30	1	1
gene:AT1G02680	1	580625	582310	+	1686	181	187	124	79	114	62
gene:AT1G02690	1	584134	587327	+	3194	403	65	79	133	138	53
gene:AT1G02700	1	588003	589480	+	1478	0	0	0	19	27	4
gene:AT1G02705	1	589584	590406	+	823	25	5	43	176	95	138
gene:AT1G02710	1	589706	589996	-	291	1	3	32	90	70	83
gene:AT1G02720	1	591682	594264	+	2583	235	97	3	117	136	125
gene:AT1G02730	1	594502	598657	-	4156	910	198	91	874	869	281
gene:AT1G02740	1	599330	602199	-	2870	273	43	7	75	61	38
gene:AT1G02750	1	602489	604387	+	1899	841	140	147	58	152	20
gene:AT1G02770	1	604873	606708	-	1836	0	0	0	0	2	0
gene:AT1G02780	1	607799	609534	-	1736	4577	1281	1528	2523	3306	1349
gene:AT1G02790	1	610363	612324	-	1962	2	0	0	1	0	0
gene:AT1G02800	1	613197	616231	-	3035	1	0	1	0	0	0
gene:AT1G02810	1	618061	620502	+	2442	0	0	0	0	31	22
gene:AT1G02813	1	620678	621329	+	652	0	0	11	0	0	0
gene:AT1G02816	1	621453	623054	+	1602	90	5	116	58	96	13
gene:AT1G02820	1	623656	624567	-	912	0	0	0	0	1	0
gene:AT1G02830	1	625084	625608	-	525	0	0	0	0	0	0
gene:AT1G02840	1	626639	629993	+	3355	1596	464	619	603	624	259
gene:AT1G02850	1	630374	633420	+	3047	157	27	271	145	198	64
gene:AT1G02860	1	635144	637262	+	2119	447	167	137	141	126	52
gene:AT1G02870	1	637214	638681	-	1468	197	91	73	94	86	31
gene:AT1G02880	1	642505	644903	-	2399	93	0	16	2	52	31
gene:AT1G02890	1	645084	652001	-	6918	2195	517	702	670	1023	407
gene:AT1G02900	1	653604	654457	-	854	51	25	24	0	20	0
gene:AT1G02910	1	655568	658216	-	2649	370	56	51	191	412	75
gene:AT1G02920	1	658578	659980	-	1403	4423	829	1154	6	6	10
gene:AT1G02930	1	661088	662475	-	1388	10205	2664	3609	18	65	24
gene:AT1G02940	1	662963	664290	-	1328	0	0	0	0	1	0
gene:AT1G02950	1	665119	666471	-	1353	563	71	43	265	266	91
gene:AT1G02960	1	666807	669919	-	3113	165	17	36	60	154	24
gene:AT1G02965	1	671661	672814	-	1154	0	0	0	0	0	0
gene:AT1G02970	1	673306	676419	+	3114	4	0	1	0	50	11
gene:AT1G02980	1	677360	681378	+	4019	28	23	0	0	7	0
gene:AT1G02990	1	681331	687385	-	6055	875	138	346	197	491	128
gene:AT1G03000	1	687795	692660	-	4866	204	0	89	326	319	109
gene:AT1G03010	1	693190	696504	+	3315	1	1	0	2	0	0
gene:AT1G03020	1	697919	698591	-	673	0	0	0	9	26	0
gene:AT1G03030	1	701365	703929	+	2565	260	6	46	173	122	70
gene:AT1G03040	1	703847	706689	-	2843	1352	414	361	560	640	212
gene:AT1G03050	1	707485	710041	+	2557	17	0	0	0	9	0
gene:AT1G03055	1	710018	711857	-	1840	0	0	2	0	19	0
gene:AT1G03060	1	712440	727553	-	15114	2249	953	957	1100	1220	645
gene:AT1G03070	1	729830	731565	+	1736	127	0	1	9	9	13
gene:AT1G03080	1	731554	738306	-	6753	8498	1870	2969	1713	1820	1156
gene:AT1G03090	1	739544	744184	+	4641	324	140	146	272	484	181
gene:AT1G03100	1	743885	746701	-	2817	26	0	9	25	114	1
gene:AT1G03103	1	747197	748057	+	861	0	0	0	0	0	0
gene:AT1G03106	1	748101	749034	-	934	0	0	0	0	0	0
gene:AT1G03110	1	749246	751976	+	2731	56	83	36	85	117	30
gene:AT1G03120	1	752191	753140	+	950	0	0	0	40	28	6
gene:AT1G03130	1	753307	754262	-	956	5566	1884	2257	2800	3145	1781
gene:AT1G03140	1	754261	756303	-	2043	643	109	201	336	363	206
gene:AT1G03150	1	756414	758678	+	2265	229	66	36	98	130	47
gene:AT1G03160	1	761261	766194	+	4934	322	105	197	354	651	289
gene:AT1G03165	1	766336	767324	+	989	0	0	0	29	26	30
gene:AT1G03170	1	768376	770684	+	2309	0	52	0	1	13	35
gene:AT1G03180	1	773358	775362	+	2005	0	10	1	13	12	0
gene:AT1G03190	1	775527	780062	+	4536	147	131	145	98	96	9
gene:AT1G03200	1	780519	782946	+	2428	1	0	33	0	2	0
gene:AT1G03210	1	782904	784346	+	1443	249	72	85	50	72	54
gene:AT1G03220	1	786832	788722	+	1891	2078	759	863	147	87	29
gene:AT1G03230	1	789820	791689	+	1870	267	254	197	42	120	3
gene:AT1G03240	1	792222	793060	-	839	0	0	0	0	0	0
gene:AT1G03250	1	793315	795403	-	2089	255	202	148	143	137	24
gene:AT1G03260	1	795449	798491	-	3043	19	12	21	41	51	56
gene:AT1G03270	1	799115	802625	+	3511	0	0	14	92	83	22
gene:AT1G03280	1	802970	807066	+	4097	540	261	323	463	259	264
gene:AT1G03290	1	807361	813216	+	5856	1414	237	228	432	329	202
gene:AT1G03300	1	811033	813086	-	2054	86	0	10	40	44	4
gene:AT1G03310	1	813413	816812	+	3400	401	142	88	230	324	183
gene:AT1G03320	1	816989	817767	+	779	7	0	1	7	0	0
gene:AT1G03325	1	817053	817178	-	126	7	0	0	6	0	0
gene:AT1G03330	1	817934	819563	-	1630	104	64	105	140	191	73
gene:AT1G03340	1	819612	821476	+	1865	0	0	0	20	8	0
gene:AT1G03350	1	822582	824410	-	1829	1099	213	540	411	350	205
gene:AT1G03360	1	824517	826399	+	1883	259	75	77	37	128	34
gene:AT1G03365	1	826523	830393	+	3871	168	90	163	318	324	115
gene:AT1G03370	1	830550	835411	+	4862	1269	548	788	201	218	177
gene:AT1G03380	1	835767	841373	+	5607	886	333	298	371	375	171
gene:AT1G03390	1	841033	842418	-	1386	0	0	38	2	25	0
gene:AT1G03395	1	841677	842158	+	482	0	0	14	0	0	0
gene:AT1G03400	1	842659	844251	-	1593	364	77	196	34	98	45
gene:AT1G03410	1	844436	847683	-	3248	26	22	54	186	252	151
gene:AT1G03430	1	847793	849621	+	1829	444	131	201	95	202	87
gene:AT1G03440	1	852151	854297	+	2147	1	64	88	91	249	47
gene:AT1G03445	1	854410	859701	-	5292	0	0	6	0	11	0
gene:AT1G03457	1	860761	864372	-	3612	1	0	15	2	25	31
gene:AT1G03470	1	865895	867733	-	1839	125	0	9	129	119	72
gene:AT1G03475	1	868853	871308	-	2456	1273	539	607	985	1332	626
gene:AT1G03490	1	871874	872906	+	1033	0	0	0	0	0	1
gene:AT1G03495	1	873166	874476	+	1311	237	104	84	24	34	9
gene:AT1G03510	1	876087	877556	-	1470	78	0	0	0	32	5
gene:AT1G03520	1	877861	880259	-	2399	201	7	17	60	188	49
gene:AT1G03530	1	880384	883599	-	3216	1287	248	278	185	164	143
gene:AT1G03540	1	883683	885611	+	1929	4	6	2	53	46	50
gene:AT1G03550	1	885623	887956	-	2334	336	123	47	69	89	62
gene:AT1G03560	1	890155	892492	-	2338	169	11	57	220	66	58
gene:AT1G03590	1	894238	897718	-	3481	652	79	136	96	183	71
gene:AT1G03600	1	898480	899794	+	1315	1576	216	473	832	1407	411
gene:AT1G03610	1	900732	903070	+	2339	331	210	190	641	462	261
gene:AT1G03620	1	904032	907643	-	3612	143	4	21	23	84	43
gene:AT1G03630	1	907523	909650	+	2128	1066	60	295	695	1239	288
gene:AT1G03650	1	910023	911292	-	1270	301	25	10	0	13	25
gene:AT1G03660	1	911310	913808	-	2499	410	32	87	0	14	17
gene:AT1G03670	1	914222	916222	-	2001	0	0	0	1	0	0
gene:AT1G03680	1	916772	918064	-	1293	1304	354	347	719	1680	430
gene:AT1G03687	1	918285	920592	+	2308	0	0	173	72	123	36
gene:AT1G03700	1	920950	922098	+	1149	0	0	1	1	0	2
gene:AT1G03710	1	923390	924730	+	1341	0	0	0	0	0	0
gene:AT1G03720	1	924896	926373	-	1478	0	0	0	0	0	0
gene:AT1G03730	1	930715	931985	-	1271	2543	536	670	75	98	58
gene:AT1G03740	1	933426	937152	+	3727	8046	1694	2140	237	227	176
gene:AT1G03750	1	937826	941162	+	3337	107	42	33	65	114	70
gene:AT1G03760	1	941062	943377	-	2316	70	66	19	73	34	67
gene:AT1G03770	1	944572	947682	+	3111	403	141	76	36	41	18
gene:AT1G03780	1	947520	951850	-	4331	223	84	47	206	118	105
gene:AT1G03790	1	954290	956144	+	1855	0	0	1	0	0	0
gene:AT1G03800	1	957104	958383	-	1280	0	0	0	0	0	0
gene:AT1G03810	1	958759	959609	+	851	0	0	0	1	0	0
gene:AT1G03820	1	959790	960916	-	1127	59	83	20	265	160	265
gene:AT1G03830	1	961684	966790	-	5107	318	48	84	160	160	88
gene:AT1G03840	1	967470	970334	-	2865	2	0	0	1	14	0
gene:AT1G03850	1	975871	977911	-	2041	139	266	125	19	47	7
gene:AT1G03860	1	979307	982002	-	2696	1038	183	431	366	548	290
gene:AT1G03870	1	982381	983544	-	1164	144	122	65	249	526	227
gene:AT1G03880	1	985751	988146	+	2396	0	0	0	0	0	0
gene:AT1G03890	1	989198	991020	+	1823	1	0	0	0	0	0
gene:AT1G03900	1	991106	993126	+	2021	918	214	127	264	374	166
gene:AT1G03905	1	993400	995989	+	2590	445	43	53	26	18	3
gene:AT1G03910	1	996076	1000629	+	4554	750	270	256	391	491	312
gene:AT1G03920	1	1001116	1004410	+	3295	11	13	40	31	200	41
gene:AT1G03930	1	1004688	1008370	+	3683	216	124	171	174	363	173
gene:AT1G03940	1	1009228	1011145	-	1918	578	88	55	126	122	107
gene:AT1G03950	1	1011151	1013365	-	2215	397	3	22	62	142	19
gene:AT1G03960	1	1013643	1017957	+	4315	67	55	48	105	220	82
gene:AT1G03970	1	1018058	1019247	+	1190	399	77	131	150	177	121
gene:AT1G03980	1	1019311	1022108	-	2798	0	0	0	0	11	0
gene:AT1G03982	1	1022251	1023719	-	1469	0	0	0	0	0	0
gene:AT1G03990	1	1024740	1027616	+	2877	153	17	30	13	21	2
gene:AT1G04000	1	1027853	1029119	-	1267	365	13	76	120	231	95
gene:AT1G04010	1	1030957	1036264	-	5308	142	16	42	46	112	45
gene:AT1G04020	1	1036493	1040262	+	3770	115	0	5	62	97	22
gene:AT1G04030	1	1040375	1042892	+	2518	112	63	29	63	103	50
gene:AT1G04040	1	1042362	1043887	-	1526	22	21	17	50	42	27
gene:AT1G04050	1	1045598	1049864	-	4267	30	0	31	1	19	1
gene:AT1G04070	1	1050505	1051194	-	690	598	113	73	60	24	18
gene:AT1G04080	1	1051312	1056827	+	5516	1764	479	519	552	859	434
gene:AT1G04090	1	1057041	1059454	+	2414	309	37	47	0	0	2
gene:AT1G04100	1	1059470	1061209	+	1740	368	232	101	83	34	16
gene:AT1G04105	1	1059730	1060348	-	619	246	2	21	10	28	3
gene:AT1G04110	1	1061297	1063809	-	2513	2	55	4	13	1	2
gene:AT1G04120	1	1064264	1071080	-	6817	1706	572	555	1653	1755	778
gene:AT1G04130	1	1073274	1075568	+	2295	102	26	1	63	90	36
gene:AT1G04140	1	1075543	1080630	-	5088	2186	503	513	743	802	327
gene:AT1G04150	1	1081024	1084431	-	3408	0	0	0	0	0	6
gene:AT1G04160	1	1086170	1096510	+	10341	90	58	3	145	85	7
gene:AT1G04170	1	1096882	1099901	+	3020	1553	288	436	392	598	223
gene:AT1G04180	1	1104493	1106241	+	1749	0	0	0	0	0	0
gene:AT1G04190	1	1106354	1108725	-	2372	182	26	30	155	247	15
gene:AT1G04200	1	1109395	1114155	+	4761	505	150	119	141	360	67
gene:AT1G04210	1	1114375	1119739	+	5365	2013	441	434	379	815	448
gene:AT1G04220	1	1119699	1122786	-	3088	17	2	1	1	2	0
gene:AT1G04230	1	1125515	1128788	+	3274	28	1	67	89	201	95
gene:AT1G04240	1	1128149	1129689	-	1541	0	10	52	61	103	1
gene:AT1G04250	1	1136078	1138663	+	2586	129	0	27	0	0	5
gene:AT1G04260	1	1140278	1141564	-	1287	98	124	56	17	62	9
gene:AT1G04270	1	1141558	1143130	-	1573	2058	482	559	648	1214	501
gene:AT1G04280	1	1143436	1147091	-	3656	7	84	66	11	7	28
gene:AT1G04290	1	1147297	1148533	-	1237	242	43	110	176	178	77
gene:AT1G04300	1	1148564	1154667	-	6104	1940	407	530	441	862	495
gene:AT1G04310	1	1154740	1157813	-	3074	244	38	43	268	283	112
gene:AT1G04330	1	1161289	1161982	-	694	0	0	0	43	23	0
gene:AT1G04340	1	1162905	1164861	-	1957	263	55	9	126	192	26
gene:AT1G04350	1	1164910	1167135	+	2226	279	16	81	146	247	63
gene:AT1G04360	1	1167288	1169034	-	1747	31	0	6	0	10	0
gene:AT1G04370	1	1175033	1175768	+	736	266	41	65	0	0	0
gene:AT1G04380	1	1176544	1178488	-	1945	159	0	21	18	3	0
gene:AT1G04390	1	1179310	1183704	-	4395	20	112	49	85	70	4
gene:AT1G04400	1	1185512	1188696	-	3185	2694	628	1055	2564	3206	1697
gene:AT1G04410	1	1188995	1191458	-	2464	6488	2269	1896	2964	4143	1481
gene:AT1G04420	1	1191519	1193884	+	2366	258	148	169	391	687	196
gene:AT1G04430	1	1197956	1201579	+	3624	428	209	292	575	806	319
gene:AT1G04440	1	1202160	1206009	+	3850	632	236	363	481	473	291
gene:AT1G04445	1	1206760	1207939	+	1180	0	0	0	4	5	0
gene:AT1G04450	1	1208521	1210026	+	1506	0	0	0	0	0	0
gene:AT1G04455	1	1210269	1210622	+	354	0	0	0	0	0	0
gene:AT1G04470	1	1210924	1214841	-	3918	2	0	0	0	0	3
gene:AT1G04480	1	1215925	1217471	+	1547	1110	331	433	239	684	249
gene:AT1G04490	1	1217690	1220899	-	3210	115	0	36	0	17	17
gene:AT1G04500	1	1221411	1224539	-	3129	229	0	8	0	5	0
gene:AT1G04510	1	1226483	1230947	+	4465	665	151	313	324	509	188
gene:AT1G04520	1	1231452	1234032	+	2581	4	79	17	110	144	125
gene:AT1G04530	1	1234176	1236206	-	2031	470	176	84	284	287	251
gene:AT1G04540	1	1236754	1239199	+	2446	205	0	6	55	21	43
gene:AT1G04550	1	1240294	1242157	+	1864	170	44	47	164	260	210
gene:AT1G04555	1	1242506	1244244	+	1739	78	6	33	24	46	58
gene:AT1G04560	1	1244947	1246059	+	1113	0	0	0	0	0	0
gene:AT1G04570	1	1246601	1248876	-	2276	0	3	0	0	3	10
gene:AT1G04580	1	1252005	1257893	-	5889	0	0	0	11	12	2
gene:AT1G04590	1	1258556	1261470	-	2915	268	22	73	81	158	19
gene:AT1G04600	1	1261762	1272588	+	10827	1	0	0	23	24	7
gene:AT1G04610	1	1279351	1281618	+	2268	0	0	1	0	0	0
gene:AT1G04620	1	1282163	1286619	-	4457	360	275	78	174	476	219
gene:AT1G04625	1	1287831	1289820	-	1990	0	4	0	15	29	0
gene:AT1G04630	1	1289734	1291112	-	1379	244	64	150	354	269	152
gene:AT1G04635	1	1291300	1292024	+	725	11	1	7	47	26	10
gene:AT1G04640	1	1292023	1293398	+	1376	40	21	22	96	288	134
gene:AT1G04645	1	1293770	1294263	-	494	0	0	0	0	0	0
gene:AT1G04650	1	1294627	1299023	-	4397	0	0	3	10	11	0
gene:AT1G04660	1	1300368	1301773	-	1406	0	1	0	0	0	0
gene:AT1G04670	1	1301829	1302758	+	930	1	0	0	0	0	0
gene:AT1G04680	1	1303467	1307973	-	4507	272	278	108	404	577	292
gene:AT1G04690	1	1313443	1315823	+	2381	679	250	153	487	662	251
