,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene:AT1G62915,17.68920191,-7.647901807,1.947616053,-3.926801587,8.60829358003981e-05,0.00074069
gene:AT5G37670,17.5352302,-7.6323394,1.951105143,-3.911803229,9.16095400779001e-05,0.000782646
gene:AT3G52075,17.55349444,-7.629286542,2.408241178,-3.167991068,0.001534962,0.009172603
gene:AT5G08070,17.3431512,-7.616380369,1.926711344,-3.953046933,7.7162294731883e-05,0.000671134
gene:AT4G11950,31.8149222,-7.611785952,1.609855659,-4.728241263,2.26472984367694e-06,2.74505793646685e-05
gene:AT2G32540,17.12494858,-7.603061275,2.002078201,-3.797584565,0.000146113,0.001193204
gene:AT3G27027,16.93846223,-7.586799763,2.016838415,-3.761729103,0.000168743,0.001358411
gene:AT2G39560,16.92828195,-7.585694796,1.968329742,-3.85387399,0.000116263,0.00097382
gene:AT3G45590,16.6871291,-7.564752282,2.022702522,-3.739923296,0.000184076,0.001463487
gene:AT5G23800,30.86115488,-7.561926403,1.620883492,-4.665311505,3.08149860135626e-06,3.67261207918918e-05
gene:AT3G03820,16.41556378,-7.54337367,2.067462226,-3.648614991,0.000263658,0.002005884
gene:AT3G26760,16.29884684,-7.533185576,2.069775445,-3.639614913,0.000273046,0.002068322
gene:AT4G19430,16.20956647,-7.523210981,2.024299338,-3.716451831,0.00020204,0.001585999
gene:AT5G51750,16.29134953,-7.523186563,2.03856919,-3.690424931,0.00022388,0.001736196
gene:AT2G42200,33.29858399,-7.52022004,1.559845218,-4.82113222,1.42745699818418e-06,1.78297808572674e-05
gene:AT3G11110,16.09203908,-7.509299685,1.971411309,-3.809098412,0.000139474,0.001146777
gene:AT5G61940,29.6197326,-7.503038985,1.609005417,-4.663153342,3.11400538563912e-06,3.70905789992462e-05
gene:AT1G25250,32.62088546,-7.499046489,1.53320528,-4.891090963,1.00278605188047e-06,1.2791004590189e-05
gene:AT2G47920,15.7228165,-7.477225896,1.980383957,-3.775644551,0.000159594,0.001292876
gene:AT5G62040,32.96627139,-7.472892922,1.708422692,-4.374147545,1.21907909529179e-05,0.000128574
gene:AT5G14350,28.87850318,-7.466501743,1.572794306,-4.747284316,2.06166050474787e-06,2.52274897618481e-05
gene:AT2G22640,31.89666884,-7.461613418,1.546710098,-4.824183555,1.40577911597353e-06,1.75932616542643e-05
gene:AT4G17810,31.7691776,-7.460720568,1.535373243,-4.859222733,1.17847495375689e-06,1.48645386041367e-05
gene:AT3G15720,28.33030362,-7.451915411,1.781376769,-4.183233745,2.87391632736069e-05,0.000279098
gene:AT4G37682,15.03054465,-7.411614466,2.067959997,-3.584022166,0.000338343,0.002503819
gene:AT4G00690,14.99873002,-7.401239506,2.256981749,-3.279264225,0.001040781,0.006583293
gene:AT3G62930,57.37085534,-7.39169165,1.333957071,-5.541176558,3.00446098611207e-08,4.78724048515605e-07
gene:AT4G34760,211.5668216,-7.351015855,0.710422555,-10.34738524,4.30071068812595e-25,2.58687747890776e-23
gene:AT1G73640,14.42689815,-7.351012358,2.567965296,-2.862582438,0.004202039,0.021488006
gene:AT1G03165,14.3082224,-7.336871797,2.064834252,-3.553249754,0.000380503,0.002772113
gene:AT3G63088,14.23761255,-7.335341379,2.58664657,-2.835849885,0.004570392,0.023029034
gene:AT1G49990,14.14305039,-7.323724968,2.056456339,-3.561332584,0.000368977,0.002696308
gene:AT1G49475,26.00672135,-7.318854161,1.606331807,-4.556253028,5.20742019809603e-06,5.94498362828899e-05
gene:AT1G01200,14.11108034,-7.313562419,2.350321585,-3.111728397,0.001859955,0.010780012
gene:AT5G65420,38.40301059,-7.278450224,1.475989112,-4.931235717,8.17110620098757e-07,1.05697212470839e-05
gene:AT5G13920,13.65498455,-7.273811379,2.068493839,-3.516477179,0.000437314,0.003115257
gene:AT1G76952,13.42794167,-7.251234272,2.602000458,-2.786792082,0.005323262,0.026191756
gene:AT1G14185,13.35948814,-7.241542214,2.08502588,-3.473118624,0.000514448,0.00357776
gene:AT3G59430,13.19611951,-7.228430418,2.314972171,-3.122469681,0.001793406,0.010447783
gene:AT1G01225,13.1708484,-7.225014081,2.213516926,-3.264042844,0.001098346,0.006900221
gene:AT3G62100,13.15805138,-7.222070514,2.610172973,-2.766893455,0.005659325,0.027426068
gene:AT5G13130,12.88800858,-7.187850683,2.150340854,-3.342656431,0.000829806,0.005417944
gene:AT2G13840,12.79902407,-7.179736258,2.126161537,-3.376853609,0.000733201,0.004849706
gene:AT1G75590,12.73743698,-7.176541969,2.27377176,-3.156227945,0.001598239,0.009503523
gene:AT4G12440,12.72582747,-7.166610767,2.173208917,-3.297709075,0.000974771,0.006237496
gene:AT1G29450,12.42803725,-7.131148962,2.221092086,-3.210649845,0.001324352,0.008124035
gene:AT4G13190,22.4415193,-7.119240647,1.945667033,-3.659023115,0.000253179,0.001936876
gene:AT2G47360,12.21116257,-7.109224347,2.163572783,-3.285872517,0.00101667,0.006458975
gene:AT3G50810,25.25992908,-7.101466144,1.642807768,-4.322761483,1.54088290832765e-05,0.000159114
gene:AT2G46660,25.09304176,-7.099093959,1.626323104,-4.365119046,1.27053545550066e-05,0.000133635
gene:AT1G52450,12.13220583,-7.098608438,2.710818617,-2.618621694,0.00882858,0.039768897
gene:AT3G06436,11.84473631,-7.066658599,2.16664584,-3.261566089,0.001107986,0.006953542
gene:AT4G14820,21.52731263,-7.046131019,1.688796823,-4.172278704,3.01568441935979e-05,0.000291395
gene:AT1G52770,11.55167414,-7.03665555,2.296384177,-3.064232728,0.002182291,0.01234707
gene:AT4G36240,11.57088925,-7.036577256,2.218788618,-3.171359903,0.00151727,0.009086627
gene:AT2G45350,23.91911008,-7.021772059,1.654583891,-4.24382958,2.19737253334677e-05,0.000220057
gene:AT5G61412,31.59257858,-7.015737497,1.576364496,-4.45058076,8.56383804301915e-06,9.31281099728998e-05
gene:AT3G47430,43.66089183,-7.012868613,1.353631218,-5.18078227,2.20957286027187e-07,3.14105305867894e-06
gene:AT4G04880,68.34516402,-7.001707807,1.217034329,-5.753089819,8.76268977212318e-09,1.52499324352466e-07
gene:AT1G63080,11.2154687,-6.99134713,2.283094285,-3.062224445,0.002196987,0.012419265
gene:AT5G06480,23.5951623,-6.978667763,1.741530781,-4.007203225,6.14419924515982e-05,0.000548787
gene:AT2G40230,10.9729879,-6.962817261,2.367989776,-2.940391607,0.003277977,0.017463187
gene:AT5G01840,10.80901549,-6.936259914,2.290617105,-3.028118448,0.002460816,0.013697452
gene:AT5G25190,19.72309332,-6.928520382,1.783820274,-3.884091062,0.000102713,0.000867879
gene:AT4G35783,10.74400122,-6.927886103,2.252609668,-3.075493372,0.002101546,0.011978252
gene:AT4G27460,19.70554117,-6.927113744,1.81158397,-3.823788385,0.000131417,0.00108516
gene:AT1G15760,10.76387426,-6.925701259,2.388670606,-2.899395689,0.003738827,0.019492131
gene:AT3G11640,10.72859037,-6.918399244,2.405011025,-2.876660095,0.004019083,0.02067325
gene:AT4G19400,10.32716108,-6.875269074,2.37620447,-2.893382771,0.003811165,0.019788862
gene:AT1G08390,22.22659879,-6.873839624,1.852813274,-3.709947311,0.000207302,0.001622674
gene:AT2G40670,62.60453419,-6.861560474,1.245388742,-5.509573231,3.59704725961954e-08,5.63352039488665e-07
gene:AT1G03120,10.19601124,-6.854039702,2.326787992,-2.94570873,0.003222157,0.017189598
gene:AT5G02640,10.16661585,-6.851701995,2.473475887,-2.77007026,0.00560442,0.027247759
gene:AT3G12870,20.54753776,-6.777157419,1.767402306,-3.834530144,0.000125805,0.001045547
gene:AT2G41290,9.711091722,-6.775830809,2.578739321,-2.627574937,0.00859959,0.038910766
gene:AT2G37320,9.681528835,-6.773159535,2.343330495,-2.89039875,0.003847534,0.01994005
gene:AT2G46890,43.7681433,-6.760379097,1.297813466,-5.209052978,1.89806917022614e-07,2.71225207041668e-06
gene:AT3G23260,9.544953847,-6.750221619,2.458974749,-2.745136615,0.006048571,0.029020739
gene:AT3G57500,9.227251427,-6.712907766,2.458926845,-2.730015242,0.00633314,0.030098833
gene:AT3G59420,16.83872112,-6.706266961,2.100531993,-3.192651664,0.001409729,0.008559767
gene:AT1G07410,9.222355867,-6.702631264,2.408349477,-2.783080831,0.005384539,0.026425703
gene:AT2G01310,325.8079115,-6.700896533,1.541049468,-4.34826829,1.3721668522779e-05,0.000143307
gene:AT5G57100,19.45638892,-6.700782913,1.782359116,-3.759502141,0.000170252,0.001368842
gene:AT4G22755,9.141553669,-6.699531893,2.483134727,-2.698013853,0.006975454,0.032611983
gene:AT1G69400,16.86466517,-6.696400796,1.818158163,-3.683068355,0.000230443,0.001783504
gene:AT1G64455,9.054399612,-6.682967459,2.403520638,-2.780490982,0.005427677,0.026589952
gene:AT5G02080,16.63730229,-6.677478352,1.904552398,-3.506061771,0.00045479,0.003220565
gene:AT5G03180,55.08245356,-6.67063989,1.25204123,-5.327811681,9.94031071823887e-08,1.47860201471918e-06
gene:AT3G13403,8.971163172,-6.670298838,2.409599267,-2.768219151,0.005636354,0.027368452
gene:AT4G28380,8.860194302,-6.650318398,2.397436687,-2.773928685,0.005538382,0.026988044
gene:AT1G28230,8.797150912,-6.642395242,2.586439208,-2.568162136,0.010223932,0.044664151
gene:AT3G25011,8.731996209,-6.623668597,2.449382877,-2.70421936,0.006846508,0.032110521
gene:AT4G34770,18.68423182,-6.622725949,1.885331106,-3.512765438,0.000443469,0.003153265
gene:AT4G36170,8.642844192,-6.612203476,2.413922623,-2.73919446,0.006158993,0.029452994
gene:AT3G09600,8.591799459,-6.600832414,2.50258386,-2.637606883,0.008349331,0.037992416
gene:AT1G80700,8.496229356,-6.592409451,2.466744967,-2.672513591,0.007528532,0.034767081
gene:AT5G24570,8.459952528,-6.586125147,2.507287578,-2.626792876,0.008619378,0.038981624
gene:AT5G43860,8.370660083,-6.565053728,2.448983924,-2.680725531,0.007346274,0.034080763
gene:AT4G38210,8.250321377,-6.548219863,2.543364296,-2.574629153,0.010034761,0.044090762
gene:AT1G10460,8.062031644,-6.510476577,2.521810599,-2.581667544,0.009832425,0.043347348
gene:AT1G55280,17.56406176,-6.481795052,2.267220953,-2.85891635,0.004250909,0.021697557
gene:AT3G20660,16.85863373,-6.47841942,1.869593496,-3.465148673,0.000529938,0.003675768
gene:AT1G21840,16.96656278,-6.468464373,1.970980359,-3.28185126,0.00103128,0.006538233
gene:AT4G14145,41.34509788,-6.442129935,1.277045598,-5.04455749,4.54572146941662e-07,6.15735727257784e-06
gene:AT4G13260,16.33906119,-6.434047484,1.837372814,-3.501764822,0.000462187,0.003267052
gene:AT5G09225,24.55084233,-6.3955486,1.568980541,-4.07624469,4.57688565721582e-05,0.000420706
gene:AT4G18550,13.51898162,-6.376345056,1.979219077,-3.221646926,0.001274561,0.007860541
gene:AT2G34925,19.47378855,-6.343056569,1.73433719,-3.657337573,0.000254849,0.001948104
gene:AT2G17210,15.33972079,-6.305446536,2.049696355,-3.076283236,0.002095986,0.011950103
gene:AT3G11470,12.64593234,-6.282330699,1.97963613,-3.173477491,0.001506246,0.009031844
gene:AT1G77400,14.54654469,-6.252171715,1.905883576,-3.280458362,0.001036386,0.006561957
gene:AT5G51810,18.13322856,-6.239483256,1.743011018,-3.579715327,0.000343969,0.002541102
gene:AT1G80970,14.37147849,-6.220688428,1.939858419,-3.206774457,0.001342322,0.008215266
gene:AT3G18800,29.35600098,-6.177129607,1.472255435,-4.195691496,2.72040326593334e-05,0.000265529
gene:AT2G12462,11.62481192,-6.16580361,2.017735818,-3.055803221,0.002244585,0.012640075
gene:AT3G56730,17.11820623,-6.156635932,1.783205361,-3.452566972,0.00055528,0.003821245
gene:AT5G58310,11.4107215,-6.144193075,2.081601305,-2.951666614,0.00316064,0.016917685
gene:AT4G30410,78.40986367,-6.13993742,1.167617946,-5.2585158,1.45222710061024e-07,2.10644063545937e-06
gene:AT2G38195,13.44588903,-6.125045995,1.955868338,-3.131624903,0.001738418,0.010198438
gene:AT3G55490,13.2412565,-6.108769424,1.944176873,-3.142085223,0.001677492,0.009889239
gene:AT4G38330,13.22960785,-6.087773513,2.054439692,-2.963228143,0.003044308,0.016395313
gene:AT1G21360,10.83059396,-6.058155605,2.1559585,-2.809959285,0.004954777,0.024700736
gene:AT5G23370,24.81209944,-6.047501857,1.620931931,-3.730879588,0.000190812,0.001508939
gene:AT4G24050,24.78253655,-6.039061676,1.646398029,-3.668044768,0.000244412,0.001878774
gene:AT4G32295,10.6015802,-6.027721015,2.092047268,-2.881254696,0.003960954,0.020438902
gene:AT1G11380,69.87978661,-6.019900399,0.987405615,-6.096684389,1.08291024018397e-09,2.07815117677578e-08
gene:AT2G01918,19.0895147,-6.018028533,1.740165724,-3.458307707,0.00054358,0.003751463
gene:AT2G37100,12.55845577,-6.002667929,2.199012536,-2.729710646,0.006338994,0.030115057
gene:AT4G00070,10.3587644,-5.999489832,2.081379134,-2.88245891,0.003945846,0.020367295
gene:AT4G33170,12.25115528,-5.987732669,2.021945778,-2.961371533,0.003062722,0.016476042
gene:AT1G62520,24.93132266,-5.93903356,1.5523239,-3.825898422,0.000130296,0.001077293
gene:AT5G14100,46.70571823,-5.908924411,1.310693616,-4.508242305,6.53668993340223e-06,7.30651613461824e-05
gene:AT4G00980,17.61511505,-5.893435943,1.670110331,-3.528770426,0.000417495,0.002997806
gene:AT3G62470,22.57306655,-5.889105274,1.675294479,-3.515265733,0.000439314,0.003127189
gene:AT2G29125,22.89505895,-5.886164123,1.587440201,-3.707959595,0.000208936,0.001632805
gene:AT2G32120,17.4245925,-5.885012458,1.663066935,-3.538650389,0.000402178,0.002902559
gene:AT3G62880,11.39832612,-5.87374597,2.06460575,-2.844972203,0.00444153,0.022497518
gene:AT2G34980,11.42444975,-5.859921427,2.125959549,-2.75636544,0.005844766,0.028188436
gene:AT2G01050,401.2556491,-5.856447996,1.556053677,-3.763654225,0.000167448,0.001349684
gene:AT1G11220,9.257191791,-5.844956199,2.254914097,-2.592097059,0.009539285,0.042303563
gene:AT2G39725,16.89902838,-5.83244556,1.669359881,-3.493821569,0.000476159,0.003353498
gene:AT1G12300,22.71375662,-5.818112166,1.59217275,-3.654196547,0.000257989,0.001968979
gene:AT2G42870,21.59134222,-5.814499469,1.714597658,-3.391174274,0.000695938,0.004623894
gene:AT1G12550,17.6168569,-5.813738947,1.813842436,-3.205206158,0.001349658,0.008257537
gene:AT1G64583,9.078941907,-5.803303702,2.257617187,-2.570543728,0.010153901,0.044479888
gene:AT5G23730,23.88347538,-5.780589213,1.730681681,-3.340064944,0.000837588,0.005463197
gene:AT1G57540,16.25267198,-5.775309478,1.753808096,-3.293011072,0.000991206,0.006325838
gene:AT2G36230,70.0203922,-5.762488293,0.958689175,-6.010799376,1.84610753132964e-09,3.44989104495466e-08
gene:AT3G51080,16.02883933,-5.752092973,2.262214712,-2.542682152,0.011000525,0.047400515
gene:AT4G26150,10.55312786,-5.746068226,2.104604,-2.730237245,0.006328876,0.030085999
gene:AT1G25480,21.62891015,-5.744196884,1.699306587,-3.380318142,0.00072402,0.004797222
gene:AT2G35140,8.63141759,-5.7340762,2.210431556,-2.594098055,0.009483943,0.042129459
gene:AT2G23960,15.63001703,-5.710982404,1.757662449,-3.249191793,0.001157334,0.007225549
gene:AT4G28310,30.22280517,-5.699304836,1.439812476,-3.958366059,7.54642403490887e-05,0.000658746
gene:AT1G16790,25.62594287,-5.697884953,1.503479548,-3.789798776,0.000150769,0.001227065
gene:AT4G29540,10.08435312,-5.67859806,2.133601889,-2.661507796,0.007779154,0.035804198
gene:AT2G39880,24.58185724,-5.669900032,1.598679785,-3.546613953,0.000390216,0.002831501
gene:AT1G10810,21.5912173,-5.63155838,1.733007207,-3.249587398,0.001155726,0.007217848
gene:AT5G65580,28.31098497,-5.617140717,1.496138371,-3.754425945,0.000173739,0.00139395
gene:AT2G43840,25.83186346,-5.615867215,1.993202994,-2.81750892,0.004839777,0.024221536
gene:AT2G01150,2051.998273,-5.587547548,1.3940705,-4.008081045,6.1214115017679e-05,0.000547259
gene:AT1G78290,18.41603707,-5.556572808,1.584855872,-3.506042982,0.000454822,0.003220565
gene:AT3G56300,10.80174356,-5.527682835,2.178251279,-2.53766996,0.011159317,0.047966621
gene:AT4G12970,27.18642635,-5.523465649,1.565886057,-3.527373925,0.000419704,0.003009856
gene:AT3G23870,10.60673988,-5.493652006,2.173091419,-2.528035387,0.011470279,0.049080819
gene:AT1G24450,26.38100809,-5.483525188,1.551278599,-3.534842284,0.000408019,0.0029381
gene:AT2G23945,13.50262303,-5.477452317,1.899119827,-2.884205746,0.003924023,0.020281845
gene:AT4G24860,13.32422749,-5.468420274,1.89996001,-2.878176512,0.003999813,0.020585132
gene:AT3G14190,52.85045533,-5.45252155,1.431207456,-3.809735287,0.000139116,0.001145294
gene:AT2G07774,12.6686469,-5.384069072,1.923452274,-2.799169569,0.005123422,0.025403306
gene:AT5G05130,24.92243663,-5.311158925,1.399985847,-3.793723299,0.000148405,0.001210382
gene:AT1G79260,20.09823327,-5.311080839,1.58361836,-3.353763111,0.000797206,0.005222811
gene:AT4G01720,19.75383344,-5.275431026,1.525962726,-3.457116571,0.000545989,0.003762688
gene:AT4G21300,18.82995585,-5.27195421,1.541417361,-3.420199062,0.000625753,0.004223176
gene:AT1G48200,20.67766605,-5.267080641,1.613676492,-3.264025142,0.001098414,0.006900221
gene:AT3G09162,26.27945153,-5.258743643,1.429298924,-3.679246906,0.000233924,0.001807533
gene:AT1G01570,15.30972715,-5.252659376,1.959583153,-2.680498333,0.007351263,0.03409569
gene:AT1G58170,30.64352289,-5.245602149,1.490866754,-3.518491599,0.000434008,0.003095138
gene:AT1G16040,29.70102712,-5.243388604,1.459188202,-3.593360059,0.000326441,0.002425062
gene:AT4G34580,11.30844529,-5.222318185,1.935090975,-2.698745564,0.006960137,0.032564101
gene:AT1G22220,22.49130632,-5.207695465,1.718816556,-3.029814581,0.002447039,0.01363654
gene:AT1G20070,18.02706513,-5.203959963,1.58375032,-3.285846195,0.001016765,0.006458975
gene:AT4G16510,14.08976255,-5.178717519,1.862029808,-2.781221598,0.005415476,0.026553506
gene:AT1G78320,28.12098016,-5.169607117,1.305533956,-3.95976458,7.50236848176327e-05,0.000655793
gene:AT1G72190,40.69179073,-5.150528276,1.082341455,-4.758690756,1.94852694416666e-06,2.39956792202942e-05
gene:AT5G19160,38.57197868,-5.125069657,1.286480383,-3.983791532,6.78243758139543e-05,0.000598571
gene:AT5G55930,70.24578995,-5.121733049,1.113372527,-4.600197082,4.22091405486146e-06,4.90901230984734e-05
gene:AT1G21710,34.29554502,-5.112688722,1.762167451,-2.901363726,0.003715423,0.019401647
gene:AT5G63500,16.02192948,-5.080374629,1.749586302,-2.903757661,0.003687134,0.019264376
gene:AT2G33240,40.31368751,-5.077662376,1.192064107,-4.25955479,2.04834486585608e-05,0.000206314
gene:AT3G56260,12.86431361,-5.076473811,1.988993157,-2.552283196,0.010701949,0.04636307
gene:AT5G04700,41.89953379,-5.072359196,1.394321369,-3.637869512,0.000274903,0.002079106
gene:AT2G37790,41.83029218,-5.055482013,1.258868543,-4.015893512,5.92209933425737e-05,0.000531415
gene:AT3G04860,19.77234784,-5.023624756,1.710925591,-2.936202944,0.003322569,0.017637287
gene:AT5G19151,17.88592082,-5.004092956,1.702936634,-2.93850802,0.003297961,0.017555077
gene:AT3G60390,37.6464496,-5.000844989,1.144512592,-4.369410197,1.2458255829816e-05,0.000131252
gene:AT3G48580,29.12012579,-4.997389089,1.547382916,-3.229574941,0.001239744,0.00768769
gene:AT3G21460,52.76635576,-4.971379512,1.336358455,-3.72009433,0.000199148,0.001567133
gene:AT1G73830,143.6772021,-4.966969843,0.778251263,-6.382218801,1.7454033484863e-10,3.60854174561378e-09
gene:AT5G52830,40.03088861,-4.965760266,1.283580452,-3.868678632,0.000109427,0.00092016
gene:AT5G45660,14.32473157,-4.957222612,1.91649973,-2.586602301,0.009692739,0.042859142
gene:AT1G54385,36.88946288,-4.93664079,1.210199635,-4.079195406,4.51918393068499e-05,0.000416197
gene:AT5G42680,296.9168183,-4.935082991,0.525875079,-9.384515806,6.3206177431196e-21,3.01883995830189e-19
gene:AT2G37950,26.46786257,-4.921120787,1.434648726,-3.430192143,0.000603154,0.004084978
gene:AT4G01600,73.73060066,-4.897735804,0.966571991,-5.06711952,4.03880709189271e-07,5.49391935722621e-06
gene:AT5G56580,30.71936822,-4.881563628,1.532683881,-3.184977468,0.001447653,0.008745895
gene:AT3G52070,51.69205391,-4.877824391,0.992882447,-4.912791445,8.97887711532829e-07,1.15447846837568e-05
gene:AT5G51850,20.41659333,-4.870066688,1.544946913,-3.152255036,0.001620147,0.009613005
gene:AT1G20530,56.69277382,-4.842582425,1.178757456,-4.10820937,3.98738557309775e-05,0.000374229
gene:AT5G49665,54.09046026,-4.82274049,1.09991104,-4.384664136,1.16164866639596e-05,0.000123328
gene:AT5G09995,47.60764198,-4.815266985,0.946978987,-5.084872052,3.67873977565776e-07,5.04692681410267e-06
gene:AT1G22590,41.83079956,-4.812765061,0.988231299,-4.87007957,1.11553317766363e-06,1.41168853410056e-05
gene:AT1G57906,26.78910656,-4.803973791,1.402405508,-3.425524047,0.000613615,0.004151443
gene:AT4G09900,13.54483302,-4.794738377,1.693732279,-2.830871465,0.004642137,0.023335559
gene:AT3G21260,15.34628638,-4.791585006,1.764077589,-2.716198559,0.00660363,0.03117652
gene:AT1G79820,69.38680752,-4.790621909,0.978168494,-4.897542643,9.70425794650046e-07,1.24111333524413e-05
gene:AT1G32450,149.9983099,-4.788647911,0.616417119,-7.768518689,7.94092910777834e-15,2.46527424945996e-13
gene:AT1G55050,14.01689161,-4.761399071,1.603182231,-2.969967468,0.002978313,0.016075622
gene:AT3G52770,34.29916643,-4.73705169,1.736006698,-2.728705883,0.006358339,0.030188777
gene:AT1G80690,173.0963692,-4.710404052,1.665636274,-2.827990796,0.004684115,0.023522007
gene:AT4G22850,29.10009315,-4.707073957,1.223086601,-3.848520583,0.000118833,0.000993616
gene:AT3G21740,33.04013785,-4.706620746,1.479996175,-3.180157371,0.001471951,0.008863982
gene:AT2G46210,32.54832616,-4.701099434,1.548596207,-3.035716743,0.002399647,0.013405377
gene:AT4G29530,15.76293823,-4.662106852,1.836193195,-2.539006715,0.011116769,0.04781577
gene:AT3G45851,21.42047517,-4.639130863,1.529881048,-3.03234743,0.002426597,0.013538303
gene:AT4G14850,26.1675492,-4.631272041,1.598948569,-2.896448411,0.003774127,0.019628315
gene:AT1G54650,31.47136246,-4.628503512,1.536250458,-3.012857368,0.002588005,0.014306124
gene:AT4G28070,25.3533027,-4.623670076,1.332741348,-3.469292884,0.00052183,0.003623445
gene:AT5G14070,27.8811467,-4.620341498,1.513372123,-3.05301084,0.002265578,0.012743377
gene:AT5G23360,91.32639113,-4.57970248,1.117923158,-4.096616523,4.19232513164595e-05,0.000390391
gene:AT3G62390,39.29837797,-4.578882634,1.210427455,-3.782864155,0.000155034,0.001258581
gene:AT1G23880,22.8483392,-4.555866351,1.568858207,-2.903937609,0.003685016,0.019258535
gene:AT2G41460,19.96848406,-4.543476924,1.439111055,-3.157141285,0.001593241,0.009479663
