"","trt_1","trt_2","trt_3","ctr_1","ctr_2","ctr_3"
"gene:AT1G02816",90,5,116,58,96,13
"gene:AT1G02820",0,0,0,0,1,0
"gene:AT1G02830",0,0,0,0,0,0
"gene:AT1G02840",1596,464,619,603,624,259
"gene:AT1G02850",157,27,271,145,198,64
"gene:AT1G02860",447,167,137,141,126,52
"gene:AT1G02870",197,91,73,94,86,31
"gene:AT1G02880",93,0,16,2,52,31
"gene:AT1G02890",2195,517,702,670,1023,407
"gene:AT1G02900",51,25,24,0,20,0
"gene:AT1G02910",370,56,51,191,412,75
"gene:AT1G02920",4423,829,1154,6,6,10
"gene:AT1G02930",10205,2664,3609,18,65,24
"gene:AT1G02940",0,0,0,0,1,0
"gene:AT1G02950",563,71,43,265,266,91
"gene:AT1G02960",165,17,36,60,154,24
"gene:AT1G02965",0,0,0,0,0,0
"gene:AT1G02970",4,0,1,0,50,11
"gene:AT1G02980",28,23,0,0,7,0
"gene:AT1G02990",875,138,346,197,491,128
"gene:AT1G03000",204,0,89,326,319,109
"gene:AT1G03010",1,1,0,2,0,0
"gene:AT1G03020",0,0,0,9,26,0
"gene:AT1G03030",260,6,46,173,122,70
"gene:AT1G03040",1352,414,361,560,640,212
"gene:AT1G03050",17,0,0,0,9,0
"gene:AT1G03055",0,0,2,0,19,0
"gene:AT1G03060",2249,953,957,1100,1220,645
"gene:AT1G03070",127,0,1,9,9,13
"gene:AT1G03080",8498,1870,2969,1713,1820,1156
"gene:AT1G03090",324,140,146,272,484,181
"gene:AT1G03100",26,0,9,25,114,1
"gene:AT1G03103",0,0,0,0,0,0
"gene:AT1G03106",0,0,0,0,0,0
"gene:AT1G03110",56,83,36,85,117,30
"gene:AT1G03120",0,0,0,40,28,6
"gene:AT1G03130",5566,1884,2257,2800,3145,1781
"gene:AT1G03140",643,109,201,336,363,206
"gene:AT1G03150",229,66,36,98,130,47
"gene:AT1G03160",322,105,197,354,651,289
"gene:AT1G03165",0,0,0,29,26,30
"gene:AT1G03170",0,52,0,1,13,35
"gene:AT1G03180",0,10,1,13,12,0
"gene:AT1G03190",147,131,145,98,96,9
"gene:AT1G03200",1,0,33,0,2,0
"gene:AT1G03210",249,72,85,50,72,54
"gene:AT1G03220",2078,759,863,147,87,29
"gene:AT1G03230",267,254,197,42,120,3
"gene:AT1G03240",0,0,0,0,0,0
"gene:AT1G03250",255,202,148,143,137,24
"gene:AT1G03260",19,12,21,41,51,56
"gene:AT1G03270",0,0,14,92,83,22
"gene:AT1G03280",540,261,323,463,259,264
"gene:AT1G03290",1414,237,228,432,329,202
"gene:AT1G03300",86,0,10,40,44,4
"gene:AT1G03310",401,142,88,230,324,183
"gene:AT1G03320",7,0,1,7,0,0
"gene:AT1G03325",7,0,0,6,0,0
"gene:AT1G03330",104,64,105,140,191,73
"gene:AT1G03340",0,0,0,20,8,0
"gene:AT1G03350",1099,213,540,411,350,205
"gene:AT1G03360",259,75,77,37,128,34
"gene:AT1G03365",168,90,163,318,324,115
"gene:AT1G03370",1269,548,788,201,218,177
"gene:AT1G03380",886,333,298,371,375,171
"gene:AT1G03390",0,0,38,2,25,0
"gene:AT1G03395",0,0,14,0,0,0
"gene:AT1G03400",364,77,196,34,98,45
"gene:AT1G03410",26,22,54,186,252,151
"gene:AT1G03430",444,131,201,95,202,87
"gene:AT1G03440",1,64,88,91,249,47
"gene:AT1G03445",0,0,6,0,11,0
"gene:AT1G03457",1,0,15,2,25,31
"gene:AT1G03470",125,0,9,129,119,72
"gene:AT1G03475",1273,539,607,985,1332,626
"gene:AT1G03490",0,0,0,0,0,1
"gene:AT1G03495",237,104,84,24,34,9
"gene:AT1G03510",78,0,0,0,32,5
"gene:AT1G03520",201,7,17,60,188,49
"gene:AT1G03530",1287,248,278,185,164,143
"gene:AT1G03540",4,6,2,53,46,50
"gene:AT1G03550",336,123,47,69,89,62
"gene:AT1G03560",169,11,57,220,66,58
"gene:AT1G03590",652,79,136,96,183,71
"gene:AT1G03600",1576,216,473,832,1407,411
"gene:AT1G03610",331,210,190,641,462,261
"gene:AT1G03620",143,4,21,23,84,43
"gene:AT1G03630",1066,60,295,695,1239,288
"gene:AT1G03650",301,25,10,0,13,25
"gene:AT1G03660",410,32,87,0,14,17
"gene:AT1G03670",0,0,0,1,0,0
"gene:AT1G03680",1304,354,347,719,1680,430
"gene:AT1G03687",0,0,173,72,123,36
"gene:AT1G03700",0,0,1,1,0,2
"gene:AT1G03710",0,0,0,0,0,0
"gene:AT1G03720",0,0,0,0,0,0
"gene:AT1G03730",2543,536,670,75,98,58
"gene:AT1G03740",8046,1694,2140,237,227,176
"gene:AT1G03750",107,42,33,65,114,70
"gene:AT1G03760",70,66,19,73,34,67
"gene:AT1G03770",403,141,76,36,41,18
"gene:AT1G03780",223,84,47,206,118,105
"gene:AT1G03790",0,0,1,0,0,0
"gene:AT1G03800",0,0,0,0,0,0
"gene:AT1G03810",0,0,0,1,0,0
"gene:AT1G03820",59,83,20,265,160,265
"gene:AT1G03830",318,48,84,160,160,88
"gene:AT1G03840",2,0,0,1,14,0
"gene:AT1G03850",139,266,125,19,47,7
"gene:AT1G03860",1038,183,431,366,548,290
"gene:AT1G03870",144,122,65,249,526,227
"gene:AT1G03880",0,0,0,0,0,0
"gene:AT1G03890",1,0,0,0,0,0
"gene:AT1G03900",918,214,127,264,374,166
"gene:AT1G03905",445,43,53,26,18,3
"gene:AT1G03910",750,270,256,391,491,312
"gene:AT1G03920",11,13,40,31,200,41
"gene:AT1G03930",216,124,171,174,363,173
"gene:AT1G03940",578,88,55,126,122,107
"gene:AT1G03950",397,3,22,62,142,19
"gene:AT1G03960",67,55,48,105,220,82
"gene:AT1G03970",399,77,131,150,177,121
"gene:AT1G03980",0,0,0,0,11,0
"gene:AT1G03982",0,0,0,0,0,0
"gene:AT1G03990",153,17,30,13,21,2
"gene:AT1G04000",365,13,76,120,231,95
"gene:AT1G04010",142,16,42,46,112,45
"gene:AT1G04020",115,0,5,62,97,22
"gene:AT1G04030",112,63,29,63,103,50
"gene:AT1G04040",22,21,17,50,42,27
"gene:AT1G04050",30,0,31,1,19,1
"gene:AT1G04070",598,113,73,60,24,18
"gene:AT1G04080",1764,479,519,552,859,434
"gene:AT1G04090",309,37,47,0,0,2
"gene:AT1G04100",368,232,101,83,34,16
"gene:AT1G04105",246,2,21,10,28,3
"gene:AT1G04110",2,55,4,13,1,2
"gene:AT1G04120",1706,572,555,1653,1755,778
"gene:AT1G04130",102,26,1,63,90,36
"gene:AT1G04140",2186,503,513,743,802,327
"gene:AT1G04150",0,0,0,0,0,6
"gene:AT1G04160",90,58,3,145,85,7
"gene:AT1G04170",1553,288,436,392,598,223
"gene:AT1G04180",0,0,0,0,0,0
"gene:AT1G04190",182,26,30,155,247,15
"gene:AT1G04200",505,150,119,141,360,67
"gene:AT1G04210",2013,441,434,379,815,448
"gene:AT1G04220",17,2,1,1,2,0
"gene:AT1G04230",28,1,67,89,201,95
"gene:AT1G04240",0,10,52,61,103,1
"gene:AT1G04250",129,0,27,0,0,5
"gene:AT1G04260",98,124,56,17,62,9
"gene:AT1G04270",2058,482,559,648,1214,501
"gene:AT1G04280",7,84,66,11,7,28
"gene:AT1G04290",242,43,110,176,178,77
"gene:AT1G04300",1940,407,530,441,862,495
"gene:AT1G04310",244,38,43,268,283,112
"gene:AT1G04330",0,0,0,43,23,0
"gene:AT1G04340",263,55,9,126,192,26
"gene:AT1G04350",279,16,81,146,247,63
"gene:AT1G04360",31,0,6,0,10,0
"gene:AT1G04370",266,41,65,0,0,0
"gene:AT1G04380",159,0,21,18,3,0
"gene:AT1G04390",20,112,49,85,70,4
"gene:AT1G04400",2694,628,1055,2564,3206,1697
"gene:AT1G04410",6488,2269,1896,2964,4143,1481
"gene:AT1G04420",258,148,169,391,687,196
"gene:AT1G04430",428,209,292,575,806,319
"gene:AT1G04440",632,236,363,481,473,291
"gene:AT1G04445",0,0,0,4,5,0
"gene:AT1G04450",0,0,0,0,0,0
"gene:AT1G04455",0,0,0,0,0,0
"gene:AT1G04470",2,0,0,0,0,3
"gene:AT1G04480",1110,331,433,239,684,249
"gene:AT1G04490",115,0,36,0,17,17
"gene:AT1G04500",229,0,8,0,5,0
"gene:AT1G04510",665,151,313,324,509,188
"gene:AT1G04520",4,79,17,110,144,125
"gene:AT1G04530",470,176,84,284,287,251
"gene:AT1G04540",205,0,6,55,21,43
"gene:AT1G04550",170,44,47,164,260,210
"gene:AT1G04555",78,6,33,24,46,58
"gene:AT1G04560",0,0,0,0,0,0
"gene:AT1G04570",0,3,0,0,3,10
"gene:AT1G04580",0,0,0,11,12,2
"gene:AT1G04590",268,22,73,81,158,19
"gene:AT1G04600",1,0,0,23,24,7
"gene:AT1G04610",0,0,1,0,0,0
"gene:AT1G04620",360,275,78,174,476,219
"gene:AT1G04625",0,4,0,15,29,0
"gene:AT1G04630",244,64,150,354,269,152
"gene:AT1G04635",11,1,7,47,26,10
"gene:AT1G04640",40,21,22,96,288,134
"gene:AT1G04645",0,0,0,0,0,0
"gene:AT1G04650",0,0,3,10,11,0
"gene:AT1G04660",0,1,0,0,0,0
"gene:AT1G04670",1,0,0,0,0,0
"gene:AT1G04680",272,278,108,404,577,292
"gene:AT1G04690",679,250,153,487,662,251
"gene:AT1G04700",0,0,0,31,13,0
"gene:AT1G04710",11,1,28,116,186,78
"gene:AT1G04730",218,131,42,133,74,28
"gene:AT1G04750",1385,260,292,494,618,258
"gene:AT1G04760",6,3,0,53,77,26
"gene:AT1G04770",12,20,2,143,154,77
"gene:AT1G04778",89,0,0,8,7,0
"gene:AT1G04780",2141,454,667,573,471,298
"gene:AT1G04790",366,166,115,168,336,47
"gene:AT1G04800",9,9,117,3,188,10
"gene:AT1G04810",2324,683,437,413,584,300
"gene:AT1G04820",3599,1437,1293,1649,2081,784
"gene:AT1G04830",108,45,77,113,161,88
"gene:AT1G04840",6,0,7,12,58,1
"gene:AT1G04850",997,391,546,623,851,401
"gene:AT1G04860",633,205,471,358,481,229
"gene:AT1G04870",579,180,153,70,192,8
"gene:AT1G04880",3,0,7,0,3,0
"gene:AT1G04890",8,0,0,0,0,0
"gene:AT1G04895",0,0,0,0,0,0
"gene:AT1G04900",343,2,1,67,126,58
"gene:AT1G04910",148,108,85,119,335,110
"gene:AT1G04920",0,0,5,33,58,11
"gene:AT1G04930",177,50,63,47,57,24
"gene:AT1G04945",964,239,418,323,463,300
"gene:AT1G04940",327,140,358,262,388,212
"gene:AT1G04950",378,87,66,315,261,114
"gene:AT1G04960",674,195,504,108,141,17
"gene:AT1G04970",592,119,94,116,301,278
"gene:AT1G04980",164,8,143,149,233,14
"gene:AT1G04985",326,115,203,173,234,113
"gene:AT1G04990",376,108,77,135,216,39
"gene:AT1G05000",121,42,33,27,28,7
"gene:AT1G05005",0,0,0,0,0,0
"gene:AT1G05010",4546,1079,2307,503,556,331
"gene:AT1G05020",22,5,17,1,4,1
"gene:AT1G05030",108,0,3,61,109,60
"gene:AT1G05035",2,0,0,8,2,0
"gene:AT1G05040",0,0,0,0,0,0
"gene:AT1G05055",303,2,54,102,150,23
"gene:AT1G05060",872,185,242,78,107,37
"gene:AT1G05065",35,0,0,0,4,0
"gene:AT1G05070",15,25,30,77,150,86
"gene:AT1G05080",1,0,0,0,0,0
"gene:AT1G05085",0,0,0,0,3,0
"gene:AT1G05087",0,0,6,0,9,26
"gene:AT1G05090",4,0,2,0,0,0
"gene:AT1G05100",0,11,32,0,0,9
"gene:AT1G05120",425,181,273,127,176,57
"gene:AT1G05136",9,0,0,0,0,0
"gene:AT1G05140",445,90,55,357,700,294
"gene:AT1G05150",672,203,149,705,593,303
"gene:AT1G05160",43,0,36,80,142,72
"gene:AT1G05170",446,85,108,16,80,87
"gene:AT1G05180",949,87,94,171,343,86
"gene:AT1G05190",2415,370,882,1818,2866,1030
"gene:AT1G05200",485,74,135,323,471,115
"gene:AT1G05205",94,45,89,65,101,77
"gene:AT1G05210",0,5,0,4,14,6
"gene:AT1G05220",0,0,0,0,0,0
"gene:AT1G05230",3,0,2,32,0,5
"gene:AT1G05240",0,0,32,0,0,0
"gene:AT1G05250",2,0,0,0,0,0
"gene:AT1G05260",23,5,2,0,3,1
"gene:AT1G05270",550,125,105,309,440,157
"gene:AT1G05280",2,1,2,0,1,1
"gene:AT1G05290",0,0,2,0,1,0
"gene:AT1G05291",0,0,0,0,0,0
"gene:AT1G05300",2,0,18,114,40,37
"gene:AT1G05310",33,12,61,79,196,74
"gene:AT1G05320",101,24,54,271,272,125
"gene:AT1G05330",21,0,0,0,0,0
"gene:AT1G05340",255,93,108,15,6,0
"gene:AT1G05350",1060,102,308,215,258,49
"gene:AT1G05360",341,124,76,111,160,38
"gene:AT1G05370",203,6,28,62,141,30
"gene:AT1G05380",923,252,436,574,492,288
"gene:AT1G05385",83,0,164,117,121,15
"gene:AT1G05400",1,13,0,0,5,27
"gene:AT1G05410",210,0,43,60,76,68
"gene:AT1G05420",0,2,7,1,12,0
"gene:AT1G05430",277,61,60,59,243,61
"gene:AT1G05440",6,0,0,35,38,10
"gene:AT1G05450",0,0,0,0,6,0
"gene:AT1G05460",72,206,69,277,318,201
"gene:AT1G05470",418,96,149,483,710,219
"gene:AT1G05490",0,0,8,0,30,0
"gene:AT1G05500",250,105,260,356,388,153
"gene:AT1G05510",0,0,0,0,2,0
"gene:AT1G05520",136,100,390,307,412,135
"gene:AT1G05530",0,0,1,0,1,0
"gene:AT1G05540",0,0,14,23,114,66
"gene:AT1G05550",0,0,0,0,2,0
"gene:AT1G05560",1351,356,903,897,946,340
"gene:AT1G05570",393,170,385,447,548,90
"gene:AT1G05575",794,139,148,0,0,0
"gene:AT1G05577",2,53,3,0,5,2
"gene:AT1G05580",1,0,0,0,0,0
"gene:AT1G05590",17,9,14,101,167,73
"gene:AT1G05600",4,4,21,46,140,10
"gene:AT1G05610",1,0,26,0,76,0
"gene:AT1G05615",0,0,0,0,0,0
"gene:AT1G05620",143,14,47,42,75,30
"gene:AT1G05630",167,7,126,116,170,88
"gene:AT1G05640",14,24,33,78,166,111
"gene:AT1G05650",0,0,0,0,0,0
"gene:AT1G05660",0,0,0,0,0,0
"gene:AT1G05670",1342,375,274,58,65,17
"gene:AT1G05675",11144,2815,2765,3,5,2
"gene:AT1G05680",13997,4003,3717,51,53,36
"gene:AT1G05690",0,0,1,0,30,21
"gene:AT1G05700",79,0,10,0,12,3
"gene:AT1G05710",32,34,71,124,239,107
"gene:AT1G05720",66,37,93,99,161,76
"gene:AT1G05730",374,77,68,63,94,47
"gene:AT1G05740",0,0,0,0,0,0
"gene:AT1G05750",55,4,77,143,305,94
"gene:AT1G05760",39,0,62,81,268,57
"gene:AT1G05770",164,0,2,27,68,31
"gene:AT1G05780",0,28,1,11,31,51
"gene:AT1G05783",93,39,8,0,1,0
"gene:AT1G05785",1,28,15,38,60,10
"gene:AT1G05790",571,127,109,170,205,161
"gene:AT1G05800",463,147,119,0,0,0
"gene:AT1G05805",473,93,148,266,430,179
"gene:AT1G05810",100,7,12,91,136,65
"gene:AT1G05820",0,43,6,78,42,76
"gene:AT1G05830",629,175,409,492,543,275
"gene:AT1G05835",42,24,19,30,62,23
"gene:AT1G05840",424,8,38,220,337,135
"gene:AT1G05850",5730,1660,1661,2097,2467,1221
"gene:AT1G05860",92,99,94,143,182,64
"gene:AT1G05870",4,13,41,31,102,13
"gene:AT1G05880",427,167,86,0,1,0
"gene:AT1G05890",1166,385,251,511,647,295
"gene:AT1G05894",4,0,15,0,0,2
"gene:AT1G05900",602,1,49,117,140,94
"gene:AT1G05910",592,178,192,295,283,158
"gene:AT1G05920",0,0,0,0,0,0
"gene:AT1G05930",0,0,0,0,0,1
"gene:AT1G05940",244,200,91,238,408,147
"gene:AT1G05950",0,21,0,13,28,8
"gene:AT1G05960",1451,351,601,258,390,147
"gene:AT1G05970",114,38,1,40,47,0
"gene:AT1G05990",1102,159,143,0,0,0
"gene:AT1G06000",128,45,123,5,38,22
"gene:AT1G06010",22,66,1,93,74,11
"gene:AT1G06020",0,0,0,0,5,0
"gene:AT1G06030",0,0,0,0,0,0
"gene:AT1G06040",594,122,209,248,437,169
"gene:AT1G06045",268,10,43,126,202,119
"gene:AT1G06050",119,69,13,4,53,6
"gene:AT1G06060",60,58,47,134,218,71
"gene:AT1G06070",449,154,63,126,215,58
"gene:AT1G06080",0,0,0,0,0,1
"gene:AT1G06090",57,0,7,0,6,1
"gene:AT1G06100",0,0,0,0,3,0
"gene:AT1G06110",266,65,144,160,256,147
"gene:AT1G06120",0,0,0,0,0,0
"gene:AT1G06130",474,22,110,102,238,126
"gene:AT1G06135",168,6,0,0,0,0
"gene:AT1G06137",0,0,0,0,0,0
"gene:AT1G06140",0,0,33,35,14,4
"gene:AT1G06143",197,45,14,15,36,9
"gene:AT1G06150",1152,515,561,945,951,314
"gene:AT1G06148",247,36,49,20,25,0
"gene:AT1G06160",0,3,37,9,0,31
"gene:AT1G06170",0,0,28,0,1,3
"gene:AT1G06180",0,5,0,55,8,48
"gene:AT1G06190",500,142,136,349,411,294
"gene:AT1G06200",672,35,180,156,341,19
"gene:AT1G06210",856,167,120,177,270,165
"gene:AT1G06220",1113,437,338,483,680,235
"gene:AT1G06225",0,0,0,0,0,0
"gene:AT1G06230",2934,660,669,710,728,361
"gene:AT1G06240",130,8,37,182,158,42
"gene:AT1G06250",7,49,0,0,41,12
"gene:AT1G06260",138,17,5,35,33,4
"gene:AT1G06270",131,19,4,96,80,32
"gene:AT1G06280",0,0,0,0,0,0
"gene:AT1G06290",487,91,134,374,687,177
"gene:AT1G06310",4,0,0,0,4,0
"gene:AT1G06320",0,0,0,0,0,0
"gene:AT1G06330",0,0,0,0,0,0
"gene:AT1G06340",0,0,0,0,4,0
"gene:AT1G06350",0,0,0,0,0,0
"gene:AT1G06360",0,0,0,0,3,0
"gene:AT1G06380",462,147,92,94,85,57
"gene:AT1G06390",639,140,355,460,680,322
"gene:AT1G06400",320,149,178,246,357,146
"gene:AT1G06410",1807,643,553,952,1152,388
"gene:AT1G06420",15,0,6,1,26,6
"gene:AT1G06430",184,134,297,311,312,151
"gene:AT1G06440",282,5,47,17,31,19
"gene:AT1G06450",450,16,60,100,177,26
"gene:AT1G06460",910,298,598,1103,1296,497
"gene:AT1G06470",245,51,94,418,439,214
"gene:AT1G06475",0,0,0,214,94,19
"gene:AT1G06490",562,53,151,111,350,129
"gene:AT1G06500",7,8,4,50,88,19
"gene:AT1G06515",78,1,26,61,152,28
"gene:AT1G06510",31,32,10,86,146,101
"gene:AT1G06520",442,42,44,36,38,34
"gene:AT1G06530",2382,760,1185,671,778,411
"gene:AT1G06540",2382,760,1203,671,796,420
"gene:AT1G06550",500,220,212,179,260,112
"gene:AT1G06560",39,129,47,121,188,49
"gene:AT1G06570",267,191,142,94,134,3
"gene:AT1G06580",21,47,27,52,8,18
